0.38453,0.42138,0.5861,0.5067,0.5662,0.60088
0.26052,0.53566,0.45563,0.45373,0.48129,0.63758
0.17583,0.37289,0.50089,0.52512,0.51796,0.58797
0.20151,0.5479,0.42135,0.5116,0.51378,0.56344
0.48748,0.53206,0.59365,0.55654,0.54003,0.54956
0.138,0.3888,0.45189,0.38304,0.46545,0.58417
0.60513,0.51757,0.58435,0.58236,0.61005,0.37624
1,0.48249,0.59812,0.53913,0.53437,0.54275
0.78839,0.5168,0.49941,0.42914,0.46409,0.53967
0.52918,0.69767,0.60074,0.35426,0.51476,0.44425
0.92298,0.44528,0.48743,0.49718,0.46502,0.51459
0,0.55974,0.51765,0.41269,0.44017,0.4519
0.74899,0.42569,0.48642,0.52264,0.40835,0.58254
0.40007,0.53904,0.52833,0.56232,0.57265,0.48456
0.064552,0.43404,0.53691,0.60315,0.49228,0.46129
0.83339,0.41863,0.54717,0.51794,0.42056,0.54339
0.997,0.51798,0.54465,0.53543,0.55789,0.45687
0.57812,0.4809,0.51881,0.56367,0.46035,0.55649
