,temperature,acid_conc,cat_load,co_cat_load,acrylate_amine_ratio,aldehyde_amine_ratio,co_cat,stenutz_name,cosmo_name,chemical_formula,cas_number
0,26.75,3.9250000000000003,0.8425000000000001,1165.875,1.6700000000000002,0.89,co_cat_2,"1,2,3,4-tetrachlorobenzene","1,2,3,4-tetrachlorobenzene",C6H2Cl4,634-66-2
1,44.75,7.825000000000001,5.7925,497.6250000000001,1.73,1.73,co_cat_1,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
2,32.75,37.075,3.317500000000001,868.8750000000001,0.8300000000000001,1.31,co_cat_1,"(1Z,5Z)-cycloocta-1,5-diene","1,5-cyclooctadiene",C8H12,111-78-4
3,34.25,21.475,9.2575,1314.375,1.37,1.9100000000000001,co_cat_2,"1,5-dichloropentane","1,5-dichloro-pentane",C5H10Cl2,628-76-2
4,49.25,27.325000000000003,2.3275,349.125,1.07,1.61,co_cat_2,1-bromohexane,1-bromohexane,C6H13Br,111-25-1
5,47.75,31.225,6.782500000000001,1091.6250000000002,1.01,1.55,co_cat_2,"1,1,1-trichloroethane",glycerol,C2H3Cl3,71-55-6
6,43.25,33.175000000000004,8.2675,126.37500000000001,0.9500000000000001,1.1900000000000002,co_cat_1,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",C2H2Br4,79-27-6
7,22.25,23.425000000000004,8.7625,1240.125,1.9100000000000001,1.85,co_cat_1,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
8,31.25,9.775,4.802499999999999,52.125,1.9700000000000002,1.4900000000000002,co_cat_2,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
9,38.75,13.675000000000002,5.2975,943.125,1.55,1.07,co_cat_1,"1,4-butanediol","1,4-butadiol",C4H10O2,110-63-4
10,37.25,11.725000000000001,0.34750000000000003,1017.3750000000001,1.1300000000000001,0.8300000000000001,co_cat_1,"1,3-difluorobenzene",m-difluorobenzene,C6H4F2,372-18-9
11,20.75,5.875,7.7725,200.625,1.4300000000000002,1.01,co_cat_2,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
12,23.75,39.025000000000006,6.2875,646.1250000000001,1.4900000000000002,1.79,co_cat_1,"1,5-dichloropentane","1,5-dichloro-pentane",C5H10Cl2,628-76-2
13,35.75,15.625,9.752500000000001,1462.8750000000002,1.31,1.37,co_cat_2,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
14,25.25,17.575000000000003,1.8325000000000002,274.875,1.1900000000000002,0.9500000000000001,co_cat_2,1-chlorohexane,1-chlorohexane,C6H13Cl,544-10-5
15,29.75,35.125,4.3075,720.375,1.85,1.4300000000000002,co_cat_2,"1,2,3,4-tetrachlorobenzene","1,2,3,4-tetrachlorobenzene",C6H2Cl4,634-66-2
16,46.25,19.525,3.8125000000000004,794.625,1.61,1.6700000000000002,co_cat_2,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
17,40.25,25.375,2.8225000000000002,423.37500000000006,1.25,1.1300000000000001,co_cat_2,"1,3-difluorobenzene",m-difluorobenzene,C6H4F2,372-18-9
18,41.75,1.975,7.277500000000001,1388.625,1.79,1.9700000000000002,co_cat_2,"1,1,1-trichloroethane",glycerol,C2H3Cl3,71-55-6
19,28.25,29.275000000000002,1.3375000000000001,571.875,0.89,1.25,co_cat_2,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",C10H14,488-23-3
