NAME,stenutz_name,PC_0,PC_1,PC_2
TYPE,METADATA,DATA,DATA,DATA
cas_number,,,,
100-51-6,benzyl alcohol,-0.5331698838404011,2.017985816366149,0.6335526095580984
67-64-1,2-propanone,-3.5101596161331687,-1.0585762524583884,-1.6112829572736043
107-21-1,ethanediol,-4.529107062365038,2.642787774862488,0.37580500604744027
75-52-5,nitromethane,-4.320855260239547,1.2264160185003543,-0.02792727787764348
67-66-3,trichloromethane,-1.5062875784874243,-0.7309362614947877,2.556628733566298
75-05-8,acetonitrile,-4.851334683555323,0.19680939522256385,-1.28610150989643
110-86-1,pyridine,-1.6690216982521513,0.31018133622107485,-0.19553552417185932
628-63-7,pentyl acetate,0.7979739113199137,-0.6880308684647787,-1.5757289329613144
